,gross_return,turnover,transaction_cost,net_returns,n_longs,n_shorts
2016-07-01,0.007078199318084259,0.0,0.0,0.007078199318084259,2,2
2016-07-05,-0.005907236082946094,0.25,0.000375,-0.0062822360829460945,2,0
2016-07-06,-0.0101259837043388,0.25,0.000375,-0.010500983704338801,1,0
2016-07-07,0.018183798332975655,0.0,0.0,0.018183798332975655,1,0
2016-07-08,0.0,0.25,0.000375,-0.000375,0,0
2016-07-11,0.0,0.0,0.0,0.0,0,0
2016-07-12,0.0,0.0,0.0,0.0,0,0
2016-07-13,0.0,0.0,0.0,0.0,0,0
2016-07-14,0.0,0.0,0.0,0.0,0,0
2016-07-15,0.0,0.0,0.0,0.0,0,0
2016-07-18,0.0,0.0,0.0,0.0,0,0
2016-07-19,0.0,0.0,0.0,0.0,0,0
2016-07-20,0.0,0.0,0.0,0.0,0,0
2016-07-21,0.0,0.0,0.0,0.0,0,0
2016-07-22,0.006816940350498561,0.5,0.00075,0.006066940350498561,2,1
2016-07-25,-0.013582398049180001,0.0,0.0,-0.013582398049180001,2,1
2016-07-26,0.016858381886161365,0.0,0.0,0.016858381886161365,2,1
2016-07-27,-0.014067993922056649,0.5,0.00075,-0.01481799392205665,1,2
2016-07-28,-0.0043098311330859555,0.0,0.0,-0.0043098311330859555,1,2
2016-07-29,0.0,0.5,0.00075,-0.00075,0,0
2016-08-01,0.0,0.0,0.0,0.0,0,0
2016-08-02,0.0,0.0,0.0,0.0,0,0
2016-08-03,-0.003525479452821397,0.5,0.00075,-0.004275479452821397,1,1
2016-08-04,-0.007469076930841729,0.25,0.000375,-0.007844076930841729,0,1
2016-08-05,-0.026620625244781895,0.5,0.00075,-0.027370625244781895,0,1
2016-08-08,-0.00082561246617421,0.0,0.0,-0.00082561246617421,0,1
2016-08-09,0.007061387185010128,0.0,0.0,0.007061387185010128,0,1
2016-08-10,0.007268667343294669,0.0,0.0,0.007268667343294669,0,1
2016-08-11,0.0,0.25,0.000375,-0.000375,0,0
2016-08-12,0.0,0.0,0.0,0.0,0,0
2016-08-15,0.0,0.0,0.0,0.0,0,0
2016-08-16,0.0,0.0,0.0,0.0,0,0
2016-08-17,0.0,0.0,0.0,0.0,0,0
2016-08-18,0.0,0.0,0.0,0.0,0,0
2016-08-19,0.0,0.0,0.0,0.0,0,0
2016-08-22,0.0,0.0,0.0,0.0,0,0
2016-08-23,0.0,0.0,0.0,0.0,0,0
2016-08-24,0.0,0.0,0.0,0.0,0,0
2016-08-25,0.0,0.0,0.0,0.0,0,0
2016-08-26,0.0,0.0,0.0,0.0,0,0
2016-08-29,0.0,0.0,0.0,0.0,0,0
2016-08-30,0.0,0.0,0.0,0.0,0,0
2016-08-31,-0.001563029440526492,0.49999999999999994,0.0007499999999999999,-0.002313029440526492,3,2
2016-09-01,-0.000827084651485316,0.5833333333333333,0.0008749999999999999,-0.0017020846514853158,1,0
2016-09-02,0.0,0.25,0.000375,-0.000375,0,0
2016-09-06,0.0,0.0,0.0,0.0,0,0
2016-09-07,0.0,0.0,0.0,0.0,0,0
2016-09-08,0.0,0.0,0.0,0.0,0,0
2016-09-09,0.0,0.0,0.0,0.0,0,0
2016-09-12,0.00670774043626475,0.25,0.000375,0.00633274043626475,1,0
2016-09-13,0.0,0.25,0.000375,-0.000375,0,0
2016-09-14,-0.012082730534662958,0.5,0.00075,-0.012832730534662959,1,1
2016-09-15,-0.008885129673600719,0.0,0.0,-0.008885129673600719,1,1
2016-09-16,0.0,0.5,0.00075,-0.00075,0,0
2016-09-19,0.0,0.0,0.0,0.0,0,0
2016-09-20,-0.0007979605360378728,0.25,0.000375,-0.0011729605360378727,0,1
2016-09-21,-0.005549783579206959,0.0,0.0,-0.005549783579206959,0,1
2016-09-22,-0.0004531970138690719,0.25,0.000375,-0.0008281970138690719,0,2
2016-09-23,0.0020485158252611085,0.25,0.000375,0.0016735158252611086,0,1
2016-09-26,0.0,0.25,0.000375,-0.000375,0,0
2016-09-27,0.0,0.0,0.0,0.0,0,0
2016-09-28,0.006135244559504685,0.25,0.000375,0.005760244559504685,0,1
2016-09-29,-0.0010496589222272947,0.0,0.0,-0.0010496589222272947,0,1
2016-09-30,0.0,0.25,0.000375,-0.000375,0,0
2016-10-03,0.0,0.0,0.0,0.0,0,0
2016-10-04,0.0,0.0,0.0,0.0,0,0
2016-10-05,0.0,0.0,0.0,0.0,0,0
2016-10-06,0.0,0.0,0.0,0.0,0,0
2016-10-07,0.0,0.0,0.0,0.0,0,0
2016-10-10,0.0,0.0,0.0,0.0,0,0
2016-10-11,0.0,0.0,0.0,0.0,0,0
2016-10-12,0.0,0.0,0.0,0.0,0,0
2016-10-13,0.024280374729992105,0.25,0.000375,0.023905374729992105,1,0
2016-10-14,0.0029906882993833124,0.75,0.0011250000000000001,0.0018656882993833123,1,1
2016-10-17,0.0009064535408108044,0.25,0.000375,0.0005314535408108044,0,1
2016-10-18,0.0,0.25,0.000375,-0.000375,0,0
2016-10-19,0.0,0.0,0.0,0.0,0,0
2016-10-20,0.0004732289451178397,0.25,0.000375,9.822894511783968e-05,1,0
2016-10-21,0.0065239896003359095,0.25,0.000375,0.006148989600335909,1,1
2016-10-24,0.005231837441317359,0.0,0.0,0.005231837441317359,1,1
2016-10-25,-0.008287359014186174,0.75,0.0011250000000000001,-0.009412359014186175,1,0
2016-10-26,-0.008848563205361266,0.0,0.0,-0.008848563205361266,1,0
2016-10-27,0.0045300017144951285,0.5,0.00075,0.0037800017144951287,2,1
2016-10-28,0.004618787381036498,0.5,0.00075,0.0038687873810364986,1,0
2016-10-31,0.0030554501415080335,0.0,0.0,0.0030554501415080335,1,0
2016-11-01,-0.005499506235296445,0.0,0.0,-0.005499506235296445,1,0
2016-11-02,-0.0033007739029013447,0.0,0.0,-0.0033007739029013447,1,0
2016-11-03,0.0,0.25,0.000375,-0.000375,0,0
2016-11-04,0.004288220977171626,0.25,0.000375,0.003913220977171626,1,0
2016-11-07,0.01617434990093416,0.0,0.0,0.01617434990093416,1,0
2016-11-08,0.0,0.25,0.000375,-0.000375,0,0
2016-11-09,0.0,0.0,0.0,0.0,0,0
2016-11-10,0.0,0.0,0.0,0.0,0,0
2016-11-11,0.0,0.0,0.0,0.0,0,0
2016-11-14,0.0,0.0,0.0,0.0,0,0
2016-11-15,-0.008762997139841145,0.5,0.00075,-0.009512997139841146,1,1
2016-11-16,0.001799268381138349,0.5,0.00075,0.001049268381138349,2,2
2016-11-17,0.0,0.5,0.00075,-0.00075,0,0
2016-11-18,0.0,0.0,0.0,0.0,0,0
2016-11-21,0.0,0.0,0.0,0.0,0,0
2016-11-22,0.0,0.0,0.0,0.0,0,0
2016-11-23,-0.0024587534285312853,0.5,0.00075,-0.003208753428531285,1,1
2016-11-25,0.0031702812596066266,0.0,0.0,0.0031702812596066266,1,1
2016-11-28,-0.011042193516742412,0.25,0.000375,-0.011417193516742412,1,0
