,gross_return,turnover,transaction_cost,net_return,n_longs,n_shorts,gross_exposure
2023-07-03,-0.004057129804363428,0.2836201694495478,0.0002836201694495478,-0.004340749973812976,2,2,0.5815571790568803
2023-07-05,0.00482243558547579,0.17014870212974975,0.00017014870212974975,0.004652286883346041,2,2,0.5841008460980992
2023-07-06,0.002005529152055447,0.07575130713698905,7.575130713698905e-05,0.001929777844918458,2,2,0.5848524161445654
2023-07-07,-0.0003790338520072013,0.08596359680822076,8.596359680822075e-05,-0.0004649974488154221,2,3,0.5463898245031005
2023-07-10,-0.004815105495229096,0.1360981138853961,0.00013609811388539612,-0.004951203609114492,2,2,0.44710494304805876
2023-07-11,0.0062073035547862325,0.05999999999999999,5.9999999999999995e-05,0.006147303554786232,2,2,0.3397572798359386
2023-07-12,0.003957712861773479,0.039077513646884526,3.9077513646884526e-05,0.0039186353481265946,2,2,0.30013431401376356
2023-07-13,0.004348950740784673,0.04002547972062256,4.002547972062256e-05,0.0043089252610640505,2,2,0.27874822938626603
2023-07-14,0.0030303130637534302,0.0988940421325627,9.88940421325627e-05,0.0029314190216208676,2,3,0.21841155576086296
2023-07-17,-0.00015035995236056967,0.08226374622449009,8.22637462244901e-05,-0.00023262369858505975,1,2,0.12166170743200665
2023-07-18,-0.0025822020428683083,0.06385502610742066,6.385502610742066e-05,-0.002646057068975729,0,2,0.10696601427778006
2023-07-19,0.0006302797344896747,0.05999999999999999,5.9999999999999995e-05,0.0005702797344896747,1,2,0.16551722614152106
2023-07-20,-0.0006465485390750398,0.09614297356372505,9.614297356372504e-05,-0.0007426915126387647,2,2,0.24873576878426953
2023-07-21,0.0019146760196586893,0.1388113704241308,0.00013881137042413082,0.0017758646492345585,3,3,0.21191425437921274
2023-07-24,0.0013908187288971799,0.08775510946258809,8.77551094625881e-05,0.0013030636194345919,2,3,0.2048269445849916
2023-07-25,0.0006860537381999997,0.06099452574396266,6.0994525743962667e-05,0.000625059212456037,2,2,0.1466658247167107
2023-07-26,0.0006602159878973349,0.060000000000000005,6.000000000000001e-05,0.0006002159878973349,3,3,0.12107511292129591
2023-07-27,-0.0011865544592933016,0.06166616354345791,6.166616354345791e-05,-0.0012482206228367596,3,2,0.10612289788122639
2023-07-28,-0.0010946490814382568,0.05173894112886881,5.173894112886881e-05,-0.0011463880225671256,2,2,0.12557761122559763
2023-07-31,-0.00028483941602573735,0.05568322300280677,5.5683223002806774e-05,-0.0003405226390285441,2,2,0.09760714807292004
2023-08-01,-0.00016601162139138836,0.032674323611349976,3.2674323611349976e-05,-0.00019868594500273832,2,2,0.05360583543360403
2023-08-02,0.0002526523860582588,0.018945358853237233,1.8945358853237235e-05,0.00023370702720502154,2,2,0.03867638480008101
2023-08-03,0.0011280451702770592,0.03469304678419063,3.4693046784190625e-05,0.0010933521234928686,2,2,0.09738825752934546
2023-08-04,0.0011176848153067976,0.04633132003466901,4.6331320034669014e-05,0.0010713534952721286,2,2,0.16996191469035363
2023-08-07,0.00029351017247085235,0.058439806408174914,5.843980640817492e-05,0.00023507036606267744,2,2,0.053082301874003784
2023-08-08,0.00018660699431049778,0.02138045315950833,2.138045315950833e-05,0.00016522654115098945,2,2,0.021223281416495973
2023-08-09,0.0006083207027354266,0.04187172100047031,4.187172100047031e-05,0.0005664489817349562,1,2,0.06355401672136646
2023-08-10,-1.720743355776298e-05,0.018592516413603728,1.8592516413603727e-05,-3.579994997136671e-05,1,2,0.03240203140653618
2023-08-11,0.0,0.01620101570326809,1.620101570326809e-05,-1.620101570326809e-05,0,0,0.0
2023-08-14,-7.271728982415109e-05,0.005365653759137012,5.365653759137012e-06,-7.80829435832881e-05,0,2,0.010731307518274023
2023-08-15,0.0002448456532811536,0.004775526218509097,4.775526218509097e-06,0.0002400701270626445,0,2,0.01072356891692253
2023-08-16,0.00028251878447015766,0.010663065849418576,1.0663065849418577e-05,0.0002718557186207391,0,2,0.03204970061575968
2023-08-17,0.000996009793369482,0.05018034792020774,5.018034792020774e-05,0.0009458294454492743,0,2,0.08479405914324532
2023-08-18,0.0012148124437368658,0.06,6e-05,0.001154812443736866,0,2,0.10559166576400432
2023-08-21,-5.103790637209587e-05,0.04404871273624904,4.404871273624904e-05,-9.508661910834492e-05,0,2,0.07796738761610617
2023-08-22,0.000500897546930864,0.022341291708666864,2.2341291708666864e-05,0.00047855625522219715,0,1,0.08109100411448761
2023-08-23,-5.388226198806968e-05,0.006112366661673453,6.112366661673453e-06,-5.999462864974313e-05,0,1,0.09331573743783451
2023-08-24,0.0006511686554342056,0.005312824441216599,5.312824441216598e-06,0.000645855830992989,0,1,0.10394138632026771
2023-08-25,0.0010332221054222418,0.005315624570787311,5.3156245707873116e-06,0.0010279064808514544,0,1,0.11457263546184233
2023-08-28,0.0004142115057580583,0.01112211228003629,1.112211228003629e-05,0.000403089393478022,0,1,0.09232841090176976
2023-08-29,-0.0008316216274252699,0.011277134719695277,1.1277134719695276e-05,-0.0008428987621449652,0,1,0.0697741414623792
2023-08-30,-0.0005983558372360219,0.060000000000000005,6.000000000000001e-05,-0.000658355837236022,0,2,0.07894257100270878
2023-08-31,0.0007780567232458603,0.020739911635803417,2.0739911635803416e-05,0.0007573168116100569,0,2,0.03746274773110195
2023-09-01,0.0005572176710102272,0.028443885332154632,2.8443885332154632e-05,0.0005287737856780726,0,2,0.03209191464181639
2023-09-05,2.8677385965491355e-05,0.01330143079519518,1.330143079519518e-05,1.5375955170296177e-05,0,2,0.005489053051426027
2023-09-06,0.0,0.0027445265257130137,2.744526525713014e-06,-2.744526525713014e-06,0,0,0.0
2023-09-07,0.0,0.0,0.0,0.0,0,0,0.0
2023-09-08,0.0,0.0,0.0,0.0,0,0,0.0
2023-09-11,-2.7202294380773235e-05,0.005559395167657984,5.559395167657984e-06,-3.276168954843122e-05,0,2,0.011118790335315968
2023-09-12,0.0,0.005559395167657984,5.559395167657984e-06,-5.559395167657984e-06,0,0,0.0
2023-09-13,-5.201242511232825e-05,0.0028001004549885796,2.8001004549885796e-06,-5.481252556731683e-05,0,2,0.005600200909977159
2023-09-14,0.0,0.0028001004549885796,2.8001004549885796e-06,-2.8001004549885796e-06,0,0,0.0
2023-09-15,-2.6297233656119927e-05,0.005740316601812694,5.740316601812694e-06,-3.203755025793262e-05,2,2,0.011480633203625388
2023-09-18,0.0,0.005740316601812694,5.740316601812694e-06,-5.740316601812694e-06,0,0,0.0
2023-09-19,0.0,0.0,0.0,0.0,0,0,0.0
2023-09-20,0.0,0.0,0.0,0.0,0,0,0.0
2023-09-21,-1.5483619132760658e-05,0.005957969068303334,5.957969068303334e-06,-2.1441588201063994e-05,2,1,0.011915938136606668
2023-09-22,-0.00029949789947765,0.023599790251555775,2.3599790251555775e-05,-0.00032309768972920577,2,1,0.04766300381775916
2023-09-25,0.00019856549209080912,0.015080897847984056,1.5080897847984055e-05,0.00018348459424282507,2,1,0.059516670291493476
2023-09-26,-0.00012082325599364365,0.025162286164636047,2.516228616463605e-05,-0.0001459855421582797,2,1,0.07302610222857785
2023-09-27,0.0005448823361393755,0.042678138214875073,4.267813821487507e-05,0.0005022041979245004,2,2,0.07242187014676185
2023-09-28,0.0001671614831306829,0.0238990443033421,2.38990443033421e-05,0.0001432624388273408,2,2,0.024623781540077654
2023-09-29,0.0,0.012311890770038827,1.2311890770038827e-05,-1.2311890770038827e-05,0,0,0.0
2023-10-02,0.00011494285785429221,0.006129127071562367,6.129127071562367e-06,0.00010881373078272985,2,2,0.012258254143124734
2023-10-03,6.483621781914285e-06,0.0061995056423762235,6.199505642376224e-06,2.841161395380613e-07,2,2,0.024657265427877183
2023-10-04,0.0001272121346127472,0.033651332849089784,3.365133284908978e-05,9.356080176365741e-05,2,2,0.09195993112605674
2023-10-05,0.0,0.04597996556302837,4.597996556302837e-05,-4.597996556302837e-05,0,0,0.0
2023-10-06,-9.344098105475565e-05,0.013003387662804063,1.3003387662804063e-05,-0.00010644436871755971,1,2,0.026006775325608127
2023-10-09,-0.00025940210580998306,0.012324562747151421,1.2324562747151422e-05,-0.0002717266685571345,1,1,0.038664111661981006
2023-10-10,0.0005602541350654214,0.04511443682728811,4.511443682728811e-05,0.0005151396982381333,1,1,0.1288929853165572
2023-10-11,-8.202590830230224e-05,0.06,6e-05,-0.00014202590830230224,2,1,0.08242470015696257
