,net_return
2025-01-16,0.0002987455130137844
2025-01-17,-7.777777777777772e-06
2025-01-21,-7.700125706923435e-05
2025-01-22,0.0007203797773420978
2025-01-23,0.000971156070468656
2025-01-24,-6.319844147296321e-05
2025-01-27,-0.00019912124885966784
2025-01-28,0.0004510917291772462
2025-01-29,-0.0027358663163876413
2025-01-30,0.0010621082221623768
2025-01-31,-0.0006747817291594657
2025-02-03,-0.0001644556537432218
2025-02-04,-0.0012796291787288984
2025-02-05,0.002628053584797771
2025-02-06,0.0026552508650866564
2025-02-07,0.005229768315118181
2025-02-10,0.003041288972446627
2025-02-11,0.004204316032458119
2025-02-12,0.0015322138930686656
2025-02-13,-0.0035650984713187835
2025-02-14,0.005601539877747343
2025-02-18,-0.006400465849167741
2025-02-19,0.006596881519948602
2025-02-20,-0.002318294183009928
2025-02-21,-0.006701884357427209
2025-02-24,0.0009776830569079614
2025-02-25,0.0036977599129339525
2025-02-26,0.0015918131147434184
2025-02-27,-0.0005440500619985034
2025-02-28,-0.0012534863056903683
2025-03-03,0.001433235120296214
2025-03-04,-0.0036213680370663355
2025-03-05,-0.00018979369481660456
2025-03-06,0.0002353118390562777
2025-03-07,0.0011363090422913456
2025-03-10,-0.0002211819601532182
2025-03-11,-0.0005260275593154503
2025-03-12,-3.333333333333333e-05
2025-03-13,0.0004986134152245859
2025-03-14,-0.0011805577458510726
2025-03-17,0.00033669530029666083
2025-03-18,0.0020598117959822713
2025-03-19,-0.005619535685949537
2025-03-20,0.0011447356870903024
2025-03-21,0.0011179076254067514
2025-03-24,-0.003691614140840337
2025-03-25,0.0013279508389435954
2025-03-26,-0.00010033362275069327
2025-03-27,0.006200291183824437
2025-03-28,0.00794155107604871
2025-03-31,-0.0006871577863021993
2025-04-01,0.0008396692459658124
2025-04-02,-0.00010973923704130648
2025-04-03,0.002473912899762055
2025-04-04,0.001116496556529577
2025-04-07,0.00041450315093875264
2025-04-08,-7.308847503085908e-05
2025-04-09,0.0
2025-04-10,0.0
2025-04-11,9.735767769944114e-05
2025-04-14,3.0540026300973066e-05
2025-04-15,-0.0004280651495465591
2025-04-16,0.0005806045447648701
2025-04-17,-0.0008013319900879123
2025-04-21,0.0005141551805934154
2025-04-22,-0.0013407023699703923
2025-04-23,-0.0004085718614381592
2025-04-24,-0.0011870688605715414
2025-04-25,-0.0007022930808684417
2025-04-28,-0.0021519738975330376
2025-04-29,-0.00030731717266676325
2025-04-30,-0.0003297976828888283
2025-05-01,1.4907682123284375e-05
2025-05-02,-0.0012409734839250693
2025-05-05,-0.002889606804263202
2025-05-06,-0.0014002439580692477
2025-05-07,0.0002913525324207907
2025-05-08,-0.0033360553389621666
2025-05-09,0.0018479942701875006
2025-05-12,0.007530946897250109
2025-05-13,-0.004451266202047856
2025-05-14,0.0013084485946255459
2025-05-15,0.00012293861415740105
2025-05-16,-0.00015186070083293427
2025-05-19,-0.0009849811757562533
2025-05-20,0.0006469392865164893
2025-05-21,-0.004507720348124498
2025-05-22,-0.0029459264533087423
2025-05-23,-0.0007793297707917137
2025-05-27,0.0015422874700781629
2025-05-28,0.00023720687709411235
2025-05-29,0.0017160377630955348
2025-05-30,0.0015523402501963247
2025-06-02,-0.0010410934871226919
2025-06-03,0.0035410369182056534
2025-06-04,-0.0005852712947871486
2025-06-05,-0.00011350530351709323
2025-06-06,0.0
2025-06-09,0.0
2025-06-10,0.0
2025-06-11,0.0
2025-06-12,0.0
2025-06-13,0.0
2025-06-16,-0.0018163396232829883
